EDO,CARRETERA,TRAMO,RAMAL,TIPO DE RED,RUTA,CUERPOS,CARRILES,ORIGEN,DESTINO,km INICIAL,km FINAL,EFECTIVA,2 CARRILES,3 CARRILES,4 CARRILES,MAS DE 4 CARRILES,EQUIVALENTE,OBSERVACIONES
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,1,2,,,0,3,3,3,,,,3,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,2,4,,,3,4.05,1.05,,,1.05,,2.1,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,1,2,T. KM 5+000 DER.,PASO POR RINC‡N DE ROMOS,4.05,14.3,10.25,10.25,,,,10.25,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,2,4,,,14.3,15.95,1.65,,,1.65,,3.3,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,1,2,T. KM 40.430 DER.,CIêNEGA GRANDE,15.95,36.7,20.75,20.75,,,,20.75,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,"Enlaces,  Entr. y Retornos (gazas)",,S,22,1,2,,,,,,2.48,,,,2.48,
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,2,4,T. KM 10.050 DER.,L÷M. AGS./ZAC.,0,6,6,,,6,,12,Se mod. Por DGC en 2011
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,1,2,,,6,27.5,21.5,21.5,,,,21.5,
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,1,2,,,27.5,30.5,,,,,,,Ent. al Mpio. de Asientos 20/feb/03
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,1,2,,,30.5,45.75,15.25,15.25,,,,15.25,
AGS,LE‡N - AGUASCALIENTES,L÷M. EDOS. JAL./AGS. - AGUASCALIENTES,,C,45,2,4,,,103.3,123.05,19.75,,,19.75,,39.5,
AGS,LE‡N - AGUASCALIENTES,L÷M. EDOS. JAL./AGS. - AGUASCALIENTES,,C,45,2,4,,,123.05,129.18,,,,,,,Ent. Mpio. Aguascalientes 23/01/06
AGS,LE‡N - AGUASCALIENTES,Gazas en corredor,,C,45,1,2,,,103.3,110.8,,1,,,,1,
AGS,LE‡N - AGUASCALIENTES,Libramiento de Aguascalientes,,B,45,1,2,T. MONTORO,T. CALVILLO,0,21,,,,,,,Ent. Gob. Edo. 14/mayo/09
AGS,LE‡N - AGUASCALIENTES,"Enlaces, Entradas y Retornos (gaza)",,B,45,1,2,,,,,,,,,,,
AGS,LE‡N - AGUASCALIENTES,"Enlaces, Entradas y Retornos (gaza)",Entronque-Aeropuerto (gazas),C,45,1,2,,,111.7,,,2.65,,,,2.65,
AGS,LE‡N - AGUASCALIENTES,"Enlaces, Entradas y Retornos (gaza)",Aeropuerto de Aguascalientes,B,45,2,4,T. KM 111.700,AEROPUERTO,0,6.13,6.13,,,6.13,,12.26,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+400,,C,45,2,4,,,1,5.756,,,,,,,Ent. Mpio. Ags. 23/Enero/06
